iPhone,,,,1430, ,$2044900,
WHATSAAP 2616928222,CONDICION,"PRECIO
LISTA","DESCUENTO
EFECTIVO 
BILLETE/TRANSFE",,,$0,$0
iPhone 13 128GB,IMPECABLE,$569.100,$517.700,362,398,$517660,$569140
iPhone 14 128GB,IMPECABLE,$629.200,$572.000,400,440,$572000,$629200
iPhone 14 256GB,IMPECABLE,$660.700,$600.600,420,462,$600600,$660660
iPhone 15 Pro Max 256GB,IMPECABLE,$1.116.800,$1.015.300,710,781,$1015300,$1116830
iPhone 16 Plus 128GB,IMPECABLE,$1.006.700,$915.200,640,704,$915200,$1006720
iPhone 16 Pro 128GB,IMPECABLE,$1.242.700,$1.129.700,790,869,$1129700,$1242670
IPHONE 6 32GB,IPHONE 6 32GB,$263.100,$1.430.000,1000,184,$1430000,$263120
iPhone 11 Pro Max 64GB,IMPECABLE,$0,$1.430.000,1000,,$1430000,$0
iPhone Xs 64GB,IMPECABLE,$0,$1.430.000,1000,,$1430000,$0
Lista de iPhone nuevos pedir al whatsaap,,,,,,$0,$0
,,$0,$0,,,$0,$0
SAMSUNG,,,,190,209,$271700,$298870
SAMSUNG GALAXY A06 128GB/4GB,NUEVO,$195.900,$171.600,120,137,$171600,$195910
SAMSUNG GALAXY A17 128GB/4GB,NUEVO,$283.100,$257.400,180,198,$257400,$283140
SAMSUNG GALAXY A01 32GB/2GB,IMPECABLE,$44.000,,,,,
SAMSUNG GALAXY A15 128GB/4GB,IMPECABLE,$188.800,$171.600,120,132,$171600,$188760
SAMSUNG GALAXY A16 128GB/4GB,IMPECABLE,$204.500,$185.900,130,143,$185900,$204490
SAMSUNG GALAXY A17 128GB/4GB,IMPECABLE,$236.000,$200.200,140,165,$200200,$235950
SAMSUNG GALAXY A24 128GB/6GB,IMPECABLE,$220.200,$200.200,140,154,$200200,$220220
SAMSUNG GALAXY A26 128GB/6GB,IMPECABLE,$251.700,$228.800,160,176,$228800,$251680
SAMSUNG GALAXY A35 128GB/6GB,IMPECABLE,$267.400,$228.800,160,187,$228800,$267410
SAMSUNG GALAXY A52 128GB/6GB,IMPECABLE,$188.800,$171.600,120,132,$171600,$188760
SAMSUNG GALAXY S23 FE 128GB/8GB,IMPECABLE,$424.700,$386.100,270,297,$386100,$424710
MOTOROLA,,,,190,209,$271700,$298870
MOTO G35 128GB/4GB,NUEVO,$298.900,$271.700,190,209,$271700,$298870
MOTO G24 POWER 256GB/4GB,IMPECABLE,$173.000,$157.300,110,121,$157300,$173030
MOTO G34 256GB/8GB,IMPECABLE,$188.800,$171.600,120,132,$171600,$188760
MOTO G35 128GB/4GB,IMPECABLE,$220.200,$200.200,140,154,$200200,$220220
XIAOMI/HONOR,,,,,,$0,$0
,,,,,,,
HONOR 400 LITE 256GB/12GB,IMPECABLE,$328.900,$300.300,210,230,$300300,$328900
STREAMING/GAMING,,,,,,$0,$0
AMAZON FIRE TV STICK ,NUEVO,$65.000,,,,,
ROKU EXPRESS HD,NUEVO,$55.000,,,,,
CABLES/CARGADORES,,,,,,,
CABEZAL APPLE 20W,NUEVO,$54.300,$48.600,34,38,$48620,$54340
CABEZAL SPIGEN 20W,NUEVO,$38.600,$34.300,24,27,$34320,$38610
CABLE USB C A UBS C 2M ANKER,NUEVO,$32.900,$30.000,21,23,$30030,$32890
Cable tipo C a LIGHTNING apple,NUEVO,$40.000,,28,28,$40040,$40040
Cable tipo C a tipo C apple,NUEVO,$40.000,,28,28,$40040,$40040
Powerbank ANKER 5000mAh,NUEVO,$64.500,$57.200,40,45,$57200,$64493
AURICULARES,,,,,,,
JBL TUNE FLEX,NUEVO,$106900,$97.000,,,,
Philps SERIES 4000,NUEVO,$58.000,$53.000,,,,
VARIOS APPLE,,,,,,$0,$0
Apple watch SERIE SE 40MM,"IMPECABLE
",$390.000,,,,,
Apple watch SERIE 8 45MM,"IMPECABLE
OFERTA",$434.000,$395.000,290,319,$414700,$456170
Apple watch ULTRA 49MM,IMPECABLE,$786.500,$715.000,500,550,$715000,$786500
Malla apple watch,NUEVO,$11.400,,9,8,$12870,$11440
